customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
CUST00001,107,6,2955.57,2,5,4,254,Loyal Customer
CUST00002,40,1,581.0,4,1,1,411,Potential Loyalist
CUST00003,171,1,649.98,1,1,1,111,Dormant
CUST00004,131,1,1604.04,2,1,3,213,Dormant
CUST00005,38,4,2550.91,4,3,3,433,Potential Loyalist
CUST00006,51,5,3770.16,3,4,4,344,Loyal Customer
CUST00007,3,1,719.33,5,1,1,511,Potential Loyalist
CUST00008,47,4,2747.33,3,3,4,334,Potential Loyalist
CUST00009,31,1,376.85,4,1,1,411,Potential Loyalist
CUST00010,9,1,636.8,5,1,1,511,Potential Loyalist
CUST00011,1,2,925.0699999999999,5,2,2,522,Potential Loyalist
CUST00012,50,2,2051.63,3,2,3,323,Potential Loyalist
CUST00013,61,3,1754.44,3,3,3,333,Potential Loyalist
CUST00014,51,11,8130.16,3,5,5,355,Loyal Customer
CUST00015,35,4,4200.93,4,3,5,435,Potential Loyalist
CUST00016,215,1,478.02,1,1,1,111,Dormant
CUST00017,286,3,1699.1399999999999,1,3,3,133,At Risk
CUST00018,111,1,329.21,2,1,1,211,Dormant
CUST00019,9,2,1598.93,5,2,3,523,Potential Loyalist
CUST00020,368,3,4487.950000000001,1,3,5,135,At Risk
CUST00021,77,2,1059.3,3,2,2,322,Potential Loyalist
CUST00022,29,1,454.06,4,1,1,411,Potential Loyalist
CUST00023,21,1,400.98,4,1,1,411,Potential Loyalist
CUST00024,4,1,481.35,5,1,1,511,Potential Loyalist
CUST00025,165,7,4868.86,1,5,5,155,Loyal Customer
CUST00026,72,3,3561.3900000000003,3,3,4,334,Potential Loyalist
CUST00027,70,1,2128.34,3,1,3,313,Potential Loyalist
CUST00028,83,2,1489.7800000000002,3,2,2,322,Potential Loyalist
CUST00029,18,8,5252.9,5,5,5,555,Champion
CUST00030,5,6,3435.5899999999997,5,5,4,554,Champion
CUST00031,49,1,672.95,3,1,1,311,Potential Loyalist
CUST00032,33,3,1948.75,4,3,3,433,Potential Loyalist
CUST00033,12,4,2128.09,5,3,3,533,Potential Loyalist
CUST00034,50,6,3353.01,3,5,4,354,Loyal Customer
CUST00035,127,3,1369.71,2,3,2,232,At Risk
CUST00036,27,4,1737.33,4,3,3,433,Potential Loyalist
CUST00037,102,1,435.83,2,1,1,211,Dormant
CUST00038,51,4,2104.61,3,3,3,333,Potential Loyalist
CUST00039,15,3,1598.49,5,3,3,533,Potential Loyalist
CUST00040,154,1,634.73,1,1,1,111,Dormant
CUST00041,54,4,1911.8600000000001,3,3,3,333,Potential Loyalist
CUST00042,87,9,7523.74,2,5,5,255,Loyal Customer
CUST00043,24,1,363.01,4,1,1,411,Potential Loyalist
CUST00044,72,3,2724.09,3,3,4,334,Potential Loyalist
CUST00045,96,1,413.75,2,1,1,211,Dormant
CUST00046,127,1,489.87,2,1,1,211,Dormant
CUST00047,204,1,764.43,1,1,1,111,Dormant
CUST00048,61,4,2450.45,3,3,3,333,Potential Loyalist
CUST00049,8,1,380.83,5,1,1,511,Potential Loyalist
CUST00050,0,3,2466.39,5,3,3,533,Potential Loyalist
CUST00051,210,4,4444.3,1,3,5,135,At Risk
CUST00052,55,3,2807.14,3,3,4,334,Potential Loyalist
CUST00053,25,4,4192.59,4,3,5,435,Potential Loyalist
CUST00054,6,1,489.85,5,1,1,511,Potential Loyalist
CUST00055,3,3,1308.35,5,3,2,532,Potential Loyalist
CUST00056,9,4,3530.41,5,3,4,534,Potential Loyalist
CUST00057,136,2,2510.83,2,2,3,223,Dormant
CUST00058,42,4,2451.54,4,3,3,433,Potential Loyalist
CUST00059,2,3,2852.63,5,3,4,534,Potential Loyalist
CUST00060,145,1,293.22,2,1,1,211,Dormant
CUST00061,14,4,1966.0900000000001,5,3,3,533,Potential Loyalist
CUST00062,21,4,2805.19,4,3,4,434,Potential Loyalist
CUST00063,216,1,397.69,1,1,1,111,Dormant
CUST00064,2,1,654.93,5,1,1,511,Potential Loyalist
CUST00065,6,1,1911.67,5,1,3,513,Potential Loyalist
CUST00066,320,5,4598.95,1,4,5,145,Loyal Customer
CUST00067,63,2,1246.44,3,2,2,322,Potential Loyalist
CUST00068,346,3,2123.66,1,3,3,133,At Risk
CUST00069,29,2,874.47,4,2,2,422,Potential Loyalist
CUST00070,38,1,542.98,4,1,1,411,Potential Loyalist
CUST00071,32,1,2062.5,4,1,3,413,Potential Loyalist
CUST00072,90,4,2587.02,2,3,4,234,At Risk
CUST00073,8,5,4077.07,5,4,5,545,Champion
CUST00074,7,4,2523.65,5,3,3,533,Potential Loyalist
CUST00075,3,9,6791.61,5,5,5,555,Champion
CUST00076,20,2,1385.27,5,2,2,522,Potential Loyalist
CUST00077,109,1,394.32,2,1,1,211,Dormant
CUST00078,139,1,894.45,2,1,2,212,Dormant
CUST00079,191,1,619.57,1,1,1,111,Dormant
CUST00080,50,3,2563.41,3,3,4,334,Potential Loyalist
CUST00081,19,8,5311.16,5,5,5,555,Champion
CUST00082,254,3,1671.25,1,3,3,133,At Risk
CUST00083,89,2,806.87,2,2,2,222,Dormant
CUST00084,167,1,1273.18,1,1,2,112,Dormant
CUST00085,14,1,1257.8,5,1,2,512,Potential Loyalist
CUST00086,21,5,2195.41,4,4,3,443,Potential Loyalist
CUST00087,44,1,933.58,4,1,2,412,Potential Loyalist
CUST00088,98,12,6774.5,2,5,5,255,Loyal Customer
CUST00089,165,2,2825.75,1,2,4,124,Dormant
CUST00090,80,4,1966.31,3,4,3,343,Potential Loyalist
CUST00091,90,4,3726.87,2,4,4,244,Loyal Customer
CUST00092,21,1,430.85,4,1,1,411,Potential Loyalist
CUST00093,85,1,759.64,3,1,1,311,Potential Loyalist
CUST00094,183,4,3557.43,1,4,4,144,Loyal Customer
CUST00095,65,1,372.65,3,1,1,311,Potential Loyalist
CUST00096,61,3,1563.75,3,3,3,333,Potential Loyalist
CUST00097,1,7,4703.46,5,5,5,555,Champion
CUST00098,184,2,1843.57,1,2,3,123,Dormant
CUST00099,144,5,3410.87,2,4,4,244,Loyal Customer
CUST00100,70,1,372.37,3,1,1,311,Potential Loyalist
CUST00101,108,5,3514.87,2,4,4,244,Loyal Customer
CUST00102,83,1,732.65,3,1,1,311,Potential Loyalist
CUST00103,21,1,1469.96,4,1,2,412,Potential Loyalist
CUST00104,93,1,955.63,2,1,2,212,Dormant
CUST00105,46,1,2052.43,4,1,3,413,Potential Loyalist
CUST00106,61,7,4352.11,3,5,5,355,Loyal Customer
CUST00107,12,3,3548.15,5,3,4,534,Potential Loyalist
CUST00108,44,1,1074.5,4,1,2,412,Potential Loyalist
CUST00109,92,5,3837.05,2,4,4,244,Loyal Customer
CUST00110,35,6,3922.07,4,5,4,454,Champion
CUST00111,178,1,1135.09,1,1,2,112,Dormant
CUST00112,0,8,5576.25,5,5,5,555,Champion
CUST00113,28,2,1601.31,4,2,3,423,Potential Loyalist
CUST00114,239,6,5133.53,1,5,5,155,Loyal Customer
CUST00115,159,1,596.54,1,1,1,111,Dormant
CUST00116,143,6,5635.9,2,5,5,255,Loyal Customer
CUST00117,123,4,2534.33,2,4,3,243,At Risk
CUST00118,27,1,689.56,4,1,1,411,Potential Loyalist
CUST00119,69,3,2848.36,3,3,4,334,Potential Loyalist
CUST00120,26,1,261.95,4,1,1,411,Potential Loyalist
CUST00121,27,2,2496.0299999999997,4,2,3,423,Potential Loyalist
CUST00122,106,2,2048.93,2,2,3,223,Dormant
CUST00123,102,6,2989.07,2,5,4,254,Loyal Customer
CUST00124,194,4,2570.5,1,4,4,144,Loyal Customer
CUST00125,8,2,1698.4,5,2,3,523,Potential Loyalist
CUST00126,57,2,1260.02,3,2,2,322,Potential Loyalist
CUST00127,24,2,729.55,4,2,1,421,Potential Loyalist
CUST00128,19,2,1716.68,5,2,3,523,Potential Loyalist
CUST00129,83,3,3369.08,3,3,4,334,Potential Loyalist
CUST00130,88,1,1272.47,2,1,2,212,Dormant
CUST00131,67,6,6830.01,3,5,5,355,Loyal Customer
CUST00132,117,5,4876.780000000001,2,4,5,245,Loyal Customer
CUST00133,54,8,5982.58,3,5,5,355,Loyal Customer
CUST00134,35,5,4075.34,4,4,5,445,Champion
CUST00135,333,4,2534.18,1,4,3,143,At Risk
CUST00136,71,1,514.9,3,1,1,311,Potential Loyalist
CUST00137,177,2,1035.87,1,2,2,122,Dormant
CUST00138,61,1,905.11,3,1,2,312,Potential Loyalist
CUST00139,28,2,1715.4,4,2,3,423,Potential Loyalist
CUST00140,6,4,3768.34,5,4,4,544,Champion
CUST00141,28,1,647.85,4,1,1,411,Potential Loyalist
CUST00142,169,5,1880.0,1,4,3,143,At Risk
CUST00143,32,6,7407.96,4,5,5,455,Champion
CUST00144,86,9,6186.54,2,5,5,255,Loyal Customer
CUST00145,30,1,502.35,4,1,1,411,Potential Loyalist
CUST00146,108,5,5942.68,2,4,5,245,Loyal Customer
CUST00147,84,3,2809.3199999999997,3,3,4,334,Potential Loyalist
CUST00148,4,4,3013.01,5,4,4,544,Champion
CUST00149,8,1,787.94,5,1,2,512,Potential Loyalist
CUST00150,45,3,1355.63,4,3,2,432,Potential Loyalist
CUST00151,62,7,5530.69,3,5,5,355,Loyal Customer
CUST00152,46,7,4989.280000000001,4,5,5,455,Champion
CUST00153,3,1,977.12,5,1,2,512,Potential Loyalist
CUST00154,10,8,7145.24,5,5,5,555,Champion
CUST00155,2,3,2024.8,5,3,3,533,Potential Loyalist
CUST00156,34,2,4241.75,4,2,5,425,Potential Loyalist
CUST00157,0,5,2269.91,5,4,3,543,Potential Loyalist
CUST00158,155,1,812.34,1,1,2,112,Dormant
CUST00159,474,2,3713.77,1,2,4,124,Dormant
CUST00160,177,2,1064.66,1,2,2,122,Dormant
CUST00161,20,4,4490.9,5,4,5,545,Champion
CUST00162,91,2,1194.5900000000001,2,2,2,222,Dormant
CUST00163,70,1,275.41,3,1,1,311,Potential Loyalist
CUST00164,222,5,4657.03,1,4,5,145,Loyal Customer
CUST00165,103,3,1825.77,2,3,3,233,At Risk
CUST00166,15,1,1269.41,5,1,2,512,Potential Loyalist
CUST00167,219,1,423.24,1,1,1,111,Dormant
CUST00168,85,4,4159.16,3,4,5,345,Loyal Customer
